;full_name;code;lettre;position;Age
0;Bogdan Bogdanovic;bogdabo01;b;SG;29
1;Clint Capela;capelca01;c;C;27
2;John Collins;collijo01;c;PF;23
3;Sharife Cooper;coopesh01;c;PG;20
4;Gorgui Dieng;dienggo01;d;C;31
5;Danilo Gallinari;gallida01;g;PF;33
6;Brandon Goodwin;goodwbr01;g;PG;25
7;Johnny Hamilton;hamiljo01;h;C;27
8;Solomon Hill;hillso01;h;SF;30
9;Kevin Huerter;huertke01;h;SG;23
10;DeAndre Hunter;huntede01;h;SF;23
11;Jalen Johnson;johnsja01;j;SF;19
12;AJ Lawson;lawsoaj01;l;G;21
13;Skylar Mays;mayssk01;m;SG;24
14;Onyeka Okongwu;okongon01;o;PF;20
15;Cam Reddish;reddica01;r;SF;22
16;Lou Williams;willilo02;w;SG;34
17;Delon Wright;wrighde01;w;SG;29
18;Trae Young;youngtr01;y;PG;22
19;Juhann Begarin;begarju01;b;SG;19
20;Jaylen Brown;brownja02;b;SG;24
21;Kris Dunn;dunnkr01;d;PG;27
22;Carsen Edwards;edwarca01;e;PG;23
23;Bruno Fernando;fernabr01;f;F;23
24;Sam Hauser;hausesa01;h;SF;23
25;Al Horford;horfoal01;h;C;35
26;Enes Kanter;kanteen01;k;C;29
27;Luke Kornet;kornelu01;k;C;26
28;Romeo Langford;langfro01;l;SG;21
29;Juwan Morgan;morgaju01;m;F;24
30;Aaron Nesmith;nesmiaa01;n;SF;21
31;Jabari Parker;parkeja01;p;PF;26
32;Payton Pritchard;pritcpa01;p;PG;23
33;Josh Richardson;richajo01;r;SG;27
34;Dennis Schroder;schrode01;s;PG;27
35;Marcus Smart;smartma01;s;PG;27
36;Jayson Tatum;tatumja01;t;SF;23
37;Grant Williams;willigr01;w;PF;22
38;Robert WilliamsI;williro04;w;C;23
39;LaMarcus Aldridge;aldrila01;a;F;36
40;DeAndre Bembry;bembrde01;b;SG;27
41;Bruce Brown;brownbr01;b;SF;25
42;Jevon Carter;carteje01;c;PG;25
43;Nicolas Claxton;claxtni01;c;PF;22
44;Sekou Doumbouya;doumbse01;d;SF;20
45;David Duke;dukeda01;d;G;21
46;Kevin Durant;duranke01;d;PF;32
47;Kessler Edwards;edwarke01;e;SF;21
48;RaiQuan Gray;grayra01;g;PF;22
49;Blake Griffin;griffbl01;g;PF;32
50;James Harden;hardeja01;h;SG;32
51;Joe Harris;harrijo01;h;SF;30
52;Kyrie Irving;irvinky01;i;PG;29
53;Mike James;jamesmi02;j;PG;31
54;James Johnson;johnsja01;j;PF;34
55;Tyler Johnson;johnsty01;j;SG;29
56;Timothe Luwawu-Cabarrot;luwawti01;l;SG;26
57;Patty Mills;millspa01;m;PG;33
58;Paul Millsap;millspa01;m;PF;36
59;Reggie Perry;perryre01;p;PF;21
60;DayRon Sharpe;sharpda01;s;C;19
61;Cam Thomas;thomaca01;t;SG;19
62;Marcus Zegarowski;zegarma01;z;PG;23
63;Lonzo Ball;balllo01;b;PG;23
64;Tony Bradley;bradlto01;b;C;23
65;Troy Brown;browntr01;b;SF;22
66;Alex Caruso;carusal01;c;SG;27
67;Tyler Cook;cookty01;c;F;23
68;DeMar DeRozan;derozde01;d;SF;32
69;Ayo Dosunmu;dosunay01;d;SG;21
70;Devon Dotson;dotsode01;d;PG;22
71;Javonte Green;greenja01;g;PG;28
72;Alize Johnson;johnsal02;j;F;25
73;Stanley Johnson;johnsst01;j;F;25
74;Derrick Jones;jonesde02;j;SF;24
75;Zach LaVine;lavinza01;l;SG;26
76;Marko Simonovic;simonma01;s;C;21
77;Matt Thomas;thomama01;t;SG;27
78;Ethan Thompson;thompet01;t;SG;22
79;Nikola Vucevic;vucevni01;v;C;30
80;Coby White;whiteco01;w;PG;21
81;Patrick Williams;willipa01;w;PF;20
82;LaMelo Ball;ballla01;b;PG;20
83;James Bouknight;bouknja01;b;SG;20
84;Miles Bridges;bridgmi01;b;SF;23
85;Vernon Carey;careyve01;c;C;20
86;DJ Carton;cartodj01;c;PG;21
87;Gordon Hayward;haywago01;h;SF;31
88;Wes Iwundu;iwundwe01;i;SF;26
89;Kai Jones;joneska01;j;PF;20
90;Arnoldas Kulboka;kulboar01;k;PF;23
91;Scottie Lewis;lewissc01;l;SG;21
92;Cody Martin;martico01;m;SF;25
93;Jalen McDaniels;mcdanja01;m;PF;23
94;Kelly Oubre;oubreke01;o;SG;25
95;Mason Plumlee;plumlma01;p;C;31
96;Nick Richards;richani01;r;C;23
97;Terry Rozier;roziete01;r;SG;27
98;Ish Smith;smithis01;s;PG;33
99;JT Thor;thorjt01;t;PF;19
100;PJ Washington;washipj01;w;PF;23
101;Goga Bitadze;bitadgo01;b;C;22
102;Oshae Brissett;brissos01;b;SF;23
103;Malcolm Brogdon;brogdma01;b;PG;28
104;Torrey Craig;craigto01;c;SF;30
105;Chris Duarte;duartch01;d;SG;24
106;Nate Hinton;hintona01;h;SG;22
107;Justin Holiday;holidju01;h;SF;32
108;Isaiah Jackson;jacksis01;j;PF;19
109;DJn Jarreau;jarredj01;j;F;23
110;Jeremy Lamb;lambje01;l;SG;29
111;Caris LeVert;leverca01;l;SG;27
112;Kelan Martin;martike01;m;SG;26
113;T.J. McConnell;mccontj01;m;PG;29
114;Domantas Sabonis;sabondo01;s;PF;25
115;JaKarr Sampson;sampsja01;s;SF;28
116;Cassius Stanley;stanlca01;s;SG;22
117;Edmond Sumner;sumneed01;s;PG;25
118;Keifer Sykes;sykeske01;s;SG;27
119;Terry Taylor;taylote01;t;SG;21
120;Myles Turner;turnemy01;t;C;25
121;T.J. Warren;warretj01;w;SF;28
122;Duane Washington;washidu01;w;PG;21
123;Deni Avdija;avdijde01;a;SF;20
124;Bradley Beal;bealbr01;b;SG;28
125;Davis Bertans;bertada01;b;SF;28
126;Thomas Bryant;bryanth01;b;C;24
127;Kentavious Caldwell-Pope;caldwke01;c;SG;28
128;Spencer Dinwiddie;dinwisp01;d;PG;28
129;Daniel Gafford;gaffoda01;g;C;22
130;Anthony Gill;gillan01;g;PF;28
131;Jordan Goodwin;goodwjo01;g;SG;22
132;Rui Hachimura;hachiru01;h;PF;23
133;Montrezl Harrell;harremo01;h;C;27
134;Aaron Holiday;holidaa01;h;PG;24
135;Jay Huff;huffja01;h;C;23
136;Corey Kispert;kispeco01;k;SF;22
137;Kyle Kuzma;kuzmaky01;k;SF;26
138;Garrison Mathews;mathega01;m;SG;24
139;Raul Neto;netora01;n;PG;29
140;Isaiah Todd;toddis01;t;PF;19
141;Cassius Winston;winstca01;w;PG;23
142;Charles Bassey;bassech01;b;C;20
143;Gary Clark;clarkga01;c;SF;26
144;Seth Curry;curryse01;c;SG;31
145;Andre Drummond;drumman01;d;C;28
146;Joel Embiid;embiijo01;e;C;27
147;Danny Green;greenda02;g;SF;34
148;Tobias Harris;harrito02;h;PF;29
149;Aaron Henry;henryaa01;h;SF;22
150;Isaiah Joe;joeis01;j;SG;22
151;Furkan Korkmaz;korkmfu01;k;SG;24
152;Tyrese Maxey;maxeyty01;m;PG;20
153;Shake Milton;miltosh01;m;SG;24
154;Georges Niang;niangge01;n;F;28
155;Filip Petrusev;petrufi01;p;PF;21
156;Paul Reed;reedpa01;r;SF;22
157;Grant Riller;rillegr01;r;G;24
158;Mike Scott;scottmi01;s;PF;33
159;Ben Simmons;simmobe01;s;PG;25
160;Jaden Springer;sprinja01;s;PG;18
161;Matisse Thybulle;thybuma01;t;SG;24
162;Bam Adebayo;adebaba01;a;C;24
163;Jimmy Butler;butleji01;b;SF;31
164;Dewayne Dedmon;dedmode01;d;C;32
165;Marcus Garrett;garrema01;g;SG;22
166;Udonis Haslem;hasleud01;h;PF;41
167;Tyler Herro;herroty01;h;PG;21
168;Kyle Lowry;lowryky01;l;PG;35
169;Markieff Morris;morrisma02;m;PF;32
170;KZ Okpala;okpalkz01;o;SF;22
171;Victor Oladipo;oladivi01;o;SG;29
172;Micah Potter;pottemi01;p;F;23
173;Duncan Robinson;robindu01;r;SG;27
174;Javonte Smart;smartja01;s;G;22
175;Dru Smith;smithdr01;s;G;23
176;DJ Stewart;stewadj01;s;G;22
177;Max Strus;strusma01;s;SG;25
178;PJ Tucker;tuckepj01;t;PF;36
179;Gabe Vincent;vincega01;v;PG;25
180;Omer Yurtseven;yurtsom01;y;C;23
181;Grayson Allen;allengr01;a;SG;25
182;Giannis Antetokounmpo;antetgi01;a;PF;26
183;Thanasis Antetokounmpo;antetth01;a;SF;29
184;Elijah Bryant;bryanel01;b;SG;26
185;Pat Connaughton;connapa01;c;SG;28
186;Donte DiVincenzo;divindo01;d;SG;24
187;Mamadi Diakite;diakima01;d;PF;24
188;George Hill;hillge01;h;G;35
189;Jrue Holiday;holidjr01;h;PG;31
190;Rodney Hood;hoodro01;h;SG;28
191;Justin Jackson;jacksju01;j;SF;26
192;Georgios Kalaitzakis;kalaige01;k;SF;22
193;Brook Lopez;lopezbr01;l;C;33
194;Sandro Mamukelashvili;mamuksa01;m;PF;22
195;Khris Middleton;middlkh01;m;SF;30
196;Jordan Nwora;nworajo01;n;SF;23
197;Semi Ojeleye;ojelese01;o;PF;26
198;Bobby Portis;portibo01;p;C;26
199;Jeff Teague;teaguje01;t;PG;33
200;Axel Toupane;toupaax01;t;SG;29
201;Tremont Waters;watertr01;w;PG;23
202;Cole Anthony;anthoco01;a;PG;21
203;Mo Bamba;bambamo01;b;C;23
204;Ignas Brazdeikis;brazdig01;b;SF;22
205;Wendell Carter;cartewe01;c;C;22
206;Michael Carter-Williams;cartemi01;c;PG;29
207;Jeff Dowtin;dowtije01;d;PG;24
208;James EnnisI;ennisja01;e;SF;31
209;Markelle Fultz;fultzma01;f;PG;23
210;Hassani Gravett;graveha01;g;PG;25
211;R.J. Hampton;hamptrj;h;PG;20
212;Gary Harris;harriga01;h;SG;26
213;Jonathan Isaac;isaacjo01;i;PF;23
214;Robin Lopez;lopezro01;l;C;33
215;ETwaun Moore;mooreet01;m;G;32
216;Chuma Okeke;okekech01;o;PF;23
217;Chasson Randle;randlch01;r;PG;28
218;Terrence Ross;rosste01;r;SG;30
219;Jalen Suggs;suggsja01;s;SG;20
220;Jon Teske;teskejo01;t;C;24
221;Sindarius Thornwell;thornsi01;t;SG;26
222;Franz Wagner;wagnefr01;w;SF;20
223;Moritz Wagner;wagnemo01;w;C;24
224;Saddiq Bey;beysa01;b;SF;22
225;Cade Cunningham;cunnica01;c;PG;19
226;Hamidou Diallo;diallha01;d;SG;23
227;Luka Garza;garzalu01;g;C;22
228;Jerami Grant;grantje01;g;SF;27
229;Killian Hayes;hayeski01;h;PG;20
230;Frank Jackson;jacksfr01;j;PG;23
231;Josh Jackson;jacksjo02;j;SG;24
232;Cory Joseph;josepco01;j;PG;30
233;Balsa Koprivica;kopriba01;k;C;21
234;Saben Lee;leesa01;l;PG;22
235;Isaiah Livers;liveris01;l;PF;23
236;Trey Lyles;lylestr01;l;PF;25
237;Rodney McGruder;mcgruro01;m;SG;30
238;Kelly Olynyk;olynyke01;o;PF;30
239;Jamorko Pickett;pickeja01;p;PF;23
240;Chris Smith;smithch07;s;SF;21
241;Isaiah Stewart;stewais01;s;C;20
242;Dwayne Bacon;bacondw01;b;SG;26
243;RJ Barrett;barrerj01;b;SG;21
244;Alec Burks;burksal01;b;SG;30
245;Evan Fournier;fournev01;f;SG;28
246;Taj Gibson;gibsota01;g;C;36
247;Quentin Grimes;grimequ01;g;SG;21
248;Rokas Jokubaitis;jokubro01;j;PG;20
249;Kevin Knox;knoxke01;k;SF;22
250;Miles McBride;mcbrimi01;m;PG;21
251;Nerlens Noel;noelne01;n;C;27
252;Immanuel Quickley;quickim01;q;SG;22
253;Julius Randle;randlju01;r;PF;26
254;Mitchell Robinson;robinmi01;r;C;23
255;Derrick Rose;rosede01;r;PG;32
256;Aamir Simms;simmsaa01;s;PF;22
257;Jericho Sims;simsje01;s;PF;22
258;Obi Toppin;toppiob01;t;PF;23
259;Luca Vildoza;vildolu01;v;PG;26
260;Kemba Walker;walkerke02;w;PG;31
261;MJ Walker;walkemj01;w;SG;23
262;Jarrett Allen;allenja01;a;C;23
263;Mitch Ballock;ballomi01;b;SG;23
264;Tacko Fall;fallta01;f;C;25
265;Darius Garland;garlada01;g;PG;21
266;Isaiah Hartenstein;harteis01;h;C;23
267;Mfiondu Kabengele;kabenmf01;k;C;24
268;Kevin Love;loveke01;l;PF;33
269;Lauri Markkanen;markkla01;m;PF;24
270;Evan Mobley;mobleev01;m;C;20
271;RJ Nembhard;nembhrj01;n;SG;22
272;Isaac Okoro;okorois01;o;SF;20
273;Cedi Osman;osmande01;o;SF;26
274;Ricky Rubio;rubiori01;r;G;30
275;Trevon Scott;scotttr01;s;PF;24
276;Collin Sexton;sextoco01;s;PG;22
277;Lamar Stevens;stevela01;s;F;24
278;Brodric Thomas;thomabr01;t;G;24
279;Denzel Valentine;valende01;v;SG;27
280;Dean Wade;wadede01;w;PF;24
281;Dylan Windler;windldy01;w;SG;24
282;Precious Achiuwa;achiupr01;a;F;21
283;OG Anunoby;anunoog01;a;SF;24
284;Dalano Banton;bantoda01;b;PG;21
285;Scottie Barnes;barnesc01;b;SF;20
286;Khem Birch;birchkh01;b;C;28
287;Isaac Bonga;bongais01;b;G;21
288;Chris Boucher;bouchch01;b;PF;28
289;Justin Champagnie;champju01;c;SF;20
290;Sam Dekker;dekkesa01;d;F;27
291;Goran Dragic;dragigo01;d;PG;35
292;Malachi Flynn;flynnma01;f;PG;23
293;Freddie Gillespie;gillefr01;g;SF;24
294;David Johnson;johnsda01;j;PG;20
295;Svi Mykhailiuk;mykhasv01;m;SG;24
296;Pascal Siakam;siakapa01;s;PF;27
297;Gary Trent;trentga02;t;SG;22
298;Fred VanVleet;vanvlfr01;v;SG;27
299;Ish Wainright;wainris01;w;PF;27
300;Yuta Watanabe;watanyu01;w;SF;26
301;Carmelo Anthony;anthoca01;a;PF;37
302;Trevor Ariza;arizatr01;a;SF;36
303;Joel Ayayi;ayayijo01;a;PG;21
304;Kent Bazemore;bazemke01;b;SF;32
305;Chaundee Brown;brownch01;b;SG;22
306;Devontae Cacok;cacokde01;c;PF;24
307;Anthony Davis;davisan02;d;PF;28
308;Wayne Ellington;ellinwa01;e;SG;33
309;Talen Horton-Tucker;hortota01;h;SG;20
310;Dwight Howard;howardw01;h;C;35
311;LeBron James;jamesle01;j;SF;36
312;DeAndre Jordan;jordade01;j;C;33
313;Wesley Matthews;matthwe02;m;SG;34
314;Mac McClung;mccluma01;m;SG;22
315;Malik Monk;monkma01;m;SG;23
316;Kendrick Nunn;nunnke01;n;G;26
317;Austin Reaves;reaveau01;r;SG;23
318;Rajon Rondo;rondora01;r;PG;35
319;Russell Westbrook;westbru01;w;PG;32
320;Wang Zhelin;zheliwa01;z;F;27
321;Nicolas Batum;batumni01;b;PF;32
322;Eric Bledsoe;bledser01;b;SG;31
323;Brandon Boston;bostobr01;b;SG;19
324;Amir Coffey;coffeam01;c;SG;24
325;DeMarcus Cousins;couside01;c;C;31
326;Paul George;georgpa01;g;SG;31
327;Harry GilesI;gilesha01;g;PF;23
328;Serge Ibaka;ibakase01;i;C;31
329;Reggie Jackson;jacksre01;j;PG;31
330;Keon Johnson;johnske01;j;SG;19
331;Luke Kennard;kennalu01;k;SG;25
332;George King;kingge01;k;SF;27
333;Kawhi Leonard;leonaka01;l;SF;30
334;Terance Mann;mannte01;m;SG;24
335;Marcus Morris;morrisma03;m;SF;32
336;Patrick Patterson;pattepa01;p;PF;32
337;Jason Preston;prestja01;p;PG;22
338;Jay Scrubb;scrubja01;s;SG;21
339;Justise Winslow;winslju01;w;PF;25
340;Moses Wright;wrighmo01;w;PF;22
341;Ivica Zubac;zubaciv01;z;C;24
342;Deandre Ayton;aytonde01;a;C;23
343;Devin Booker;bookede01;b;SG;24
344;Mikal Bridges;bridgmi01;b;SF;25
345;Jae Crowder;crowdja01;c;PF;31
346;Langston Galloway;gallola01;g;SG;29
347;Chandler Hutchison;hutchch01;h;SF;25
348;Cameron Johnson;johnsca02;j;SF;25
349;Frank Kaminsky;kaminfr01;k;PF;28
350;JaVale McGee;mcgeeja01;m;C;33
351;Abdel Nader;naderab01;n;SF;27
352;Chris Paul;paulch01;p;PG;36
353;Cameron Payne;payneca01;p;PG;27
354;Elfrid Payton;paytoel01;p;PG;27
355;Dario Saric;saricda01;s;PF;27
356;Landry Shamet;shamela01;s;SG;24
357;Jalen Smith;smithja01;s;PF;21
358;Udoka Azubuike;azubuud01;a;C;21
359;Bojan Bogdanovic;bogdabo01;b;SF;32
360;Jarrell Brantley;brantja01;b;PF;25
361;Jared Butler;butleja01;b;SG;21
362;Jordan Clarkson;clarkjo01;c;PG;29
363;Mike Conley;conlemi01;c;PG;33
364;Trent Forrest;forretr01;f;SG;23
365;Rudy Gay;gayru01;g;SF;35
366;Rudy Gobert;goberru01;g;C;29
367;Elijah Hughes;hugheel01;h;SF;23
368;Ersan Ilyasova;ilyaser01;i;PF;34
369;Joe Ingles;inglejo01;i;SG;33
370;Donovan Mitchell;mitchdo01;m;SG;25
371;Royce ONeale;onealro01;o;PF;28
372;Miye Oni;onimi01;o;SG;24
373;Eric Paschall;pascher01;p;F;24
374;MaCio Teague;teaguma01;t;SF;--
375;Hassan Whiteside;whiteha01;w;C;32
376;Keljin Blevins;blevike01;b;SF;25
377;Greg BrownI;browngr01;b;PF;20
378;Marquese Chriss;chrisma01;c;SF;24
379;Robert Covington;covinro01;c;PF;30
380;CJ Elleby;ellebcj01;e;SG;21
381;Rondae Hollis-Jefferson;holliro01;h;SF;26
382;T.J. Leaf;leaftj01;l;PF;24
383;Damian Lillard;lillada01;l;PG;31
384;Nassir Little;littlna01;l;SF;21
385;CJ McCollum;mccolcj01;m;SG;29
386;Ben McLemore;mclembe01;m;SG;28
387;Larry Nance;nancela02;n;PF;28
388;Jusuf Nurkic;nurkiju01;n;C;27
389;Norman Powell;powelno01;p;SF;28
390;Anfernee Simons;simonan01;s;SG;22
391;Dennis Smith;smithde03;s;PG;23
392;Tony Snell;snellto01;s;SF;29
393;Trendon Watford;watfotr01;w;PF;20
394;Cody Zeller;zelleco01;z;C;28
395;Marvin BagleyI;baglema01;b;PF;22
396;Harrison Barnes;barneha02;b;SF;29
397;Terence Davis;daviste02;d;SG;24
398;DeAaron Fox;foxde01;f;PG;23
399;Kyle Guy;guyky01;g;SG;24
400;Tyrese Haliburton;halibty01;h;PG;21
401;Maurice Harkless;harklma01;h;SF;28
402;Buddy Hield;hieldbu01;h;SG;28
403;Richaun Holmes;holmeri01;h;C;27
404;Damian Jones;johnsda03;j;C;26
405;Louis King;kinglo01;k;PF;22
406;Alex Len;lenal01;l;C;28
407;Chimezie Metu;metuch01;m;PF;24
408;Davion Mitchell;mitchda01;m;PG;23
409;Neemias Queta;quetane01;q;C;22
410;Jahmius Ramsey;ramseja01;r;SG;20
411;Emanuel Terry;terryem01;t;PF;26
412;Tristan Thompson;thomptr01;t;C;30
413;Robert Woodard;woodaro01;w;SF;21
414;Steven Adams;adamsst01;a;C;28
415;Santi Aldama;aldamsa01;a;PF;20
416;Kyle Anderson;anderky01;a;SF;27
417;Desmond Bane;banede01;b;SG;23
418;Dillon Brooks;brookdi01;b;SF;25
419;Brandon Clarke;clarkbr01;c;PF;24
420;Jarrett Culver;culveja01;c;G;22
421;Marc Gasol;gasolma01;g;C;36
422;Juancho Hernangomez;hernaju01;h;F;25
423;Jaren Jackson;jacksja02;j;PF;21
424;Tyus Jones;jonesty01;j;PG;25
425;John Konchar;konchjo01;k;SG;25
426;DeAnthony Melton;meltode01;m;SG;23
427;Sam Merrill;merrisa01;m;SG;25
428;Ja Morant;moranja01;m;PG;22
429;Daniel Oturu;oturuda01;o;C;21
430;Yves Pons;ponsyv01;p;SG;22
431;Killian Tillie;tilliki02;t;C;23
432;Xavier Tillman;tillmxa01;t;C;22
433;Ziaire Williams;willizi01;w;SG;20
434;Nickeil Alexander-Walker;alexani01;a;SG;23
435;Jose Alvarado;alvarjo01;a;PG;23
436;Wenyen Gabriel;gabriwe01;g;PF;24
437;Devonte Graham;grahade01;g;G;26
438;Josh Hart;hartjo01;h;SG;26
439;Jaxson Hayes;hayesja02;h;C;21
440;Willy Hernangomez;hernawi01;h;C;27
441;Daulton Hommes;hommeda01;h;SF;25
442;Brandon Ingram;ingrabr01;i;SF;24
443;Herbert Jones;joneshe01;j;SF;22
444;Kira Lewis;lewiski01;l;PG;20
445;Didi Louzada;louzadi01;l;SF;22
446;Naji Marshall;marshna01;m;SF;23
447;Trey MurphyI;murphtr01;m;SG;21
448;James Nunnally;nunnaja01;n;SF;31
449;Tomas Satoransky;satorto01;s;SG;29
450;Garrett Temple;templga01;t;SF;35
451;Jonas Valanciunas;valanjo01;v;C;29
452;Zion Williamson;willizi01;w;PF;21
453;Will Barton;bartowi01;b;SF;30
454;Bol Bol;bolbo01;b;C;21
455;Facundo Campazzo;campafa01;c;PG;30
456;Vlatko Cancar;cancavl01;c;SF;24
457;PJ Dozier;doziepj01;d;SG;24
458;Aaron Gordon;gordoaa01;g;PF;25
459;JaMychal Green;greenja01;g;PF;31
460;Jeff Green;greenje02;g;PF;35
461;Shaquille Harrison;harrish01;h;SG;27
462;Markus Howard;howarma01;h;PG;22
463;NahShon Hyland;hylanna01;h;PG;20
464;Nikola Jokic;jokicni01;j;C;26
465;Monte Morris;morrimo01;m;PG;26
466;Jamal Murray;murraja01;m;PG;24
467;Zeke Nnaji;nnajize01;n;PF;20
468;Michael Porter;portemi01;p;SF;23
469;Austin Rivers;riverau01;r;SG;29
470;DJ Augustin;augusdj01;a;PG;33
471;Tyler Bey;beyty01;b;SF;23
472;Avery Bradley;bradlav01;b;PG;30
473;Armoni Brooks;brookar01;b;SG;23
474;Josh Christopher;chrisjo01;c;SG;19
475;Dante Exum;exumda01;e;PG;26
476;Usman Garuba;garubus01;g;PF;19
477;Eric Gordon;gordoer01;g;SG;32
478;Jalen Green;greenja01;g;SG;19
479;Danuel House;houseda01;h;SF;28
480;Matt Hurt;hurtma01;h;F;21
481;Anthony Lamb;lamban01;l;SF;23
482;Kenyon Martin;martike04;m;SF;20
483;Daishen Nix;nixda01;n;SG;19
484;David Nwaba;nwabada01;n;SF;28
485;Kevin Porter;porteke02;p;SG;21
486;Alperen Sengun;sengual01;s;C;19
487;JaeSean Tate;tateja01;t;SF;25
488;Daniel Theis;theisda01;t;C;29
489;Khyri Thomas;thomakh01;t;SG;25
490;John Wall;walljo01;w;PG;31
491;DJ Wilson;wilsodj01;w;PF;25
492;Christian Wood;woodch01;w;C;25
493;Al-Farouq Aminu;aminual01;a;PF;30
494;Keita Bates-Diop;bateske01;b;SF;25
495;Zach Collins;colliza01;c;PF;23
496;Drew Eubanks;eubandr01;e;PF;24
497;Bryn Forbes;forbebr01;f;SG;28
498;Keldon Johnson;johnske04;j;SF;21
499;Tre Jones;jonestr01;j;PG;21
500;Jock Landale;landajo01;l;C;25
501;Doug McDermott;mcderdo01;m;SF;29
502;Dejounte Murray;murrade01;m;PG;24
503;Jakob Poeltl;poeltja01;p;C;25
504;Joshua Primo;primojo01;p;SG;18
505;Luka Samanic;samanlu01;s;PF;21
506;Devin Vassell;vassede01;v;SG;21
507;Lonnie Walker;walkelo01;w;SG;22
508;Derrick White;whitede01;w;PG;27
509;Joe Wieskamp;wieskjo01;w;SF;22
510;Thaddeus Young;youngth01;y;PF;33
511;Moses Brown;brownmo01;b;C;21
512;Sterling Brown;brownst02;b;SF;26
513;Jalen Brunson;brunsja01;b;PG;25
514;Reggie Bullock;bullore01;b;SF;30
515;Trey Burke;burketr01;b;PG;28
516;Willie Cauley-Stein;caulewi01;c;C;28
517;Luka Doncic;doncilu01;d;PG;22
518;Dorian Finney-Smith;finnedo01;f;PF;28
519;Josh Green;greenjo01;g;SG;20
520;Tim Hardaway;hardati02;h;SF;29
521;Feron Hunt;huntfe01;h;PF;22
522;Carlik Jones;jonesca01;j;PG;23
523;Maxi Kleber;klebima01;k;PF;29
524;Boban Marjanovic;marjabo01;m;C;33
525;JaQuori McLaughlin;mclauja01;m;G;23
526;Nicolo Melli;mellini01;m;PF;30
527;Eugene Omoruyi;omorueu01;o;SF;24
528;Kristaps Porzingis;porzikr01;p;C;26
529;Dwight Powell;poweldw01;p;C;30
530;JJ Redick;redicjj01;r;SG;37
531;Tyrell Terry;terryty01;t;PG;20
532;Nemanja Bjelica;bjeline01;b;PF;33
533;Chris Chiozza;chiozch01;c;F;25
534;Stephen Curry;curryst01;c;PG;33
535;Draymond Green;greendr01;g;PF;31
536;Andre Iguodala;iguodan01;i;F;37
537;Jonathan Kuminga;kuminjo01;k;PF;18
538;Damion Lee;leeda03;l;SG;28
539;Kevon Looney;looneke01;l;C;25
540;Moses Moody;moodymo01;m;SG;19
541;Mychal Mulder;muldemy01;m;SG;27
542;Gary Payton;paytoga01;p;PG;28
543;Jordan Poole;poolejo01;p;SG;22
544;Otto Porter;porteot01;p;SF;28
545;Klay Thompson;thompkl01;t;SG;31
546;Juan Toscano-Anderson;toscaju01;t;SF;28
547;Andrew Wiggins;wiggian01;w;SF;26
548;James Wiseman;wisemja01;w;C;20
549;Darius Bazley;bazleda01;b;PF;21
550;Charlie Brown;brownch02;b;SF;24
551;Charlie Brown;brownch02;b;F;24
552;Gabriel Deck;deckga01;d;SF;26
553;Luguentz Dort;dortlu01;d;SF;22
554;Derrick Favors;favorde01;f;C;30
555;Josh Giddey;giddejo01;g;SG;18
556;Shai Gilgeous-Alexander;gilgesh01;g;SG;23
557;Jaylen Hoard;hoardja01;h;SF;22
558;Ty Jerome;jeromty01;j;SG;24
559;Vit Krejci;krejcvi01;k;F;21
560;Theo Maledon;maledth01;m;PG;20
561;Tre Mann;manntr01;m;PG;20
562;Mike Muscala;muscami01;m;C;30
563;Aleksej Pokusevski;pokusal01;p;PF;19
564;Jeremiah Robinson-Earl;robinje01;r;PF;20
565;Isaiah Roby;robyis01;r;C;23
566;Aaron Wiggins;wiggiaa01;w;SG;22
567;Kenrich Williams;willike04;w;SF;26
568;Malik Beasley;beaslma01;b;SG;24
569;Patrick Beverley;beverpa01;b;PG;33
570;Ed Davis;davised01;d;C;32
571;Anthony Edwards;edwaran01;e;SF;20
572;Nathan Knight;knighna01;k;F;23
573;Jake Layman;laymaja01;l;SF;27
574;Jaden McDaniels;mcdanja01;m;PF;20
575;Jordan McLaughlin;mclaujo01;m;PG;25
576;Jaylen Nowell;nowelja01;n;SG;22
577;Josh Okogie;okogijo01;o;SF;23
578;Taurean Prince;princeta02;p;PF;27
579;Naz Reid;reidna01;r;C;22
580;DAngelo Russell;russeda01;r;PG;25
581;Karl-Anthony Towns;townska01;t;C;25
582;Jarred Vanderbilt;vandeja01;v;PF;22
583;McKinley Wright;wrighmc01;w;PG;22
